,Input dims,Input size (>95% mem util)*,"Sparsities (input, matA, matB)",GPU clock time
145,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0.99 ; 0 ; 0,0.0008443282544612885
146,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0.99 ; 0 ; 0,0.0003463501762598753
147,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0.99 ; 0 ; 0.5,0.008571107313036919
148,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0.99 ; 0 ; 0.5,0.0008439983986318111
149,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0.99 ; 0 ; 0.5,0.0003416742812842131
150,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0.99 ; 0 ; 0.9,0.008280503191053867
151,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0.99 ; 0 ; 0.9,0.0008447261899709701
152,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0.99 ; 0 ; 0.9,0.0003470065835863352
153,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0.99 ; 0 ; 0.99,0.0081700399518013
154,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0.99 ; 0 ; 0.99,0.0008446267060935497
155,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0.99 ; 0 ; 0.99,0.00034346588887274266
156,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0.99 ; 0.5 ; 0,0.008486728183925152
157,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0.99 ; 0.5 ; 0,0.0008442422561347484
158,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0.99 ; 0.5 ; 0,0.0003639318812638521
159,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0.99 ; 0.5 ; 0.5,0.008490057475864888
160,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0.99 ; 0.5 ; 0.5,0.000844282116740942
161,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0.99 ; 0.5 ; 0.5,0.0003435447383671999
162,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0.99 ; 0.5 ; 0.9,0.008171339333057404
163,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0.99 ; 0.5 ; 0.9,0.0008445382304489613
164,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0.99 ; 0.5 ; 0.9,0.0003434718009084463
165,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0.99 ; 0.5 ; 0.99,0.008058346435427665
166,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0.99 ; 0.5 ; 0.99,0.0008440150506794453
167,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0.99 ; 0.5 ; 0.99,0.0003415917567908764
168,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0.99 ; 0.9 ; 0,0.008336371555924416
169,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0.99 ; 0.9 ; 0,0.000844129752367735
170,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0.99 ; 0.9 ; 0,0.000345618287101388
171,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0.99 ; 0.9 ; 0.5,0.008140243776142597
172,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0.99 ; 0.9 ; 0.5,0.0008447335846722126
173,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0.99 ; 0.9 ; 0.5,0.0003415092006325722
174,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0.99 ; 0.9 ; 0.9,0.008017251081764699
175,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0.99 ; 0.9 ; 0.9,0.0008452049642801285
176,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0.99 ; 0.9 ; 0.9,0.0003467707075178623
177,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0.99 ; 0.9 ; 0.99,0.008011456206440925
178,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0.99 ; 0.9 ; 0.99,0.0008446233905851841
179,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0.99 ; 0.9 ; 0.99,0.00034360287338495256
180,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0.99 ; 0.99 ; 0,0.008231213688850403
181,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0.99 ; 0.99 ; 0,0.000843911413103342
182,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0.99 ; 0.99 ; 0,0.00036400895565748216
183,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0.99 ; 0.99 ; 0.5,0.008101153187453747
184,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0.99 ; 0.99 ; 0.5,0.0008442019671201706
185,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0.99 ; 0.99 ; 0.5,0.0003462042286992073
186,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0.99 ; 0.99 ; 0.9,0.008019616454839706
187,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0.99 ; 0.99 ; 0.9,0.0008442837372422218
188,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0.99 ; 0.99 ; 0.9,0.00036072456277906894
189,3,"[(8192, 8192), (8192, 8192), (8192, 8192)]",0.99 ; 0.99 ; 0.99,0.00800537560135126
190,3,"[(8192, 8192), (8192, 1), (1, 8192)]",0.99 ; 0.99 ; 0.99,0.0008437469229102135
191,3,"[(8192, 1), (8192, 8192), (8192, 1)]",0.99 ; 0.99 ; 0.99,0.0003463541809469461
