,Input dims,Input size,"Sparsities (matA, matB)",Total elements,Input memory,Total Memory,GPU clock time (IQR)
44,2,"[(4830, 4830), (4830, 4830)]",0.995 ; 0.995,46657800,186.6312,109.051904,0.0017666833195835352 (0.0)
45,2,"[(4880, 4880), (4880, 4880)]",0.995 ; 0.995,47628800,190.5152,111.149056,0.0013745753292459994 (0.0)
46,2,"[(4929, 4929), (4929, 4929)]",0.995 ; 0.995,48590082,194.360328,113.246208,0.001435323340119794 (0.0)
47,2,"[(4978, 4978), (4978, 4978)]",0.995 ; 0.995,49560968,198.243872,115.34336,0.0014470158191397786 (0.0)
48,2,"[(5027, 5027), (5027, 5027)]",0.995 ; 0.995,50541458,202.165832,121.634816,0.001468452379340306 (0.0)
49,2,"[(5075, 5075), (5075, 5075)]",0.995 ; 0.995,51511250,206.045,123.731968,0.0015258956595789641 (0.0)
50,2,"[(5122, 5122), (5122, 5122)]",0.995 ; 0.995,52469768,209.879072,127.926272,0.0015357216005213558 (0.0)
51,2,"[(5169, 5169), (5169, 5169)]",0.995 ; 0.995,53437122,213.748488,130.023424,0.0016744305996689946 (0.0)
52,2,"[(5216, 5216), (5216, 5216)]",0.995 ; 0.995,54413312,217.653248,132.120576,0.0015865882008802145 (0.0)
53,2,"[(5262, 5262), (5262, 5262)]",0.995 ; 0.995,55377288,221.509152,136.31488,0.001608967820648104 (0.0)
54,2,"[(5308, 5308), (5308, 5308)]",0.995 ; 0.995,56349728,225.398912,138.412032,0.0016637604997958987 (0.0)
55,2,"[(5354, 5354), (5354, 5354)]",0.995 ; 0.995,57330632,229.322528,140.509184,0.0019097737595438957 (0.0)
56,2,"[(5399, 5399), (5399, 5399)]",0.995 ; 0.995,58298402,233.193608,144.703488,0.001771773510845378 (0.0)
