,"Reduce factor, shape, dim",Input size,Sparsity,Total elements,Input memory,Total Memory,GPU clock time py geo (IQR)
431,4 square 1,"(587, 587)",0,689138,3.44569,23.068672,0.00013412629021331669(0.0)
432,4 square 0,"(604, 604)",0,729632,3.64816,23.068672,0.000199774201028049(0.0)
433,4 square 1,"(604, 604)",0,729632,3.64816,23.068672,0.0001433052308857441(0.0)
434,4 square 0,"(620, 620)",0,768800,3.844,23.068672,0.00018744802102446556(0.0)
435,4 square 1,"(620, 620)",0,768800,3.844,23.068672,0.00014142246916890144(0.0)
436,4 square 0,"(636, 636)",0,808992,4.04496,23.068672,0.00019562867004424333(0.0)
437,4 square 1,"(636, 636)",0,808992,4.04496,23.068672,0.00014205094892531635(0.0)
438,4 square 0,"(651, 651)",0,847602,4.23801,23.068672,0.00019748659105971454(0.0)
439,4 square 1,"(651, 651)",0,847602,4.23801,23.068672,0.00015055972849950194(0.0)
440,4 square 0,"(666, 666)",0,887112,4.43556,25.165824,0.00021622277097776532(0.0)
441,4 square 1,"(666, 666)",0,887112,4.43556,25.165824,0.00015263887122273444(0.0)
442,4 square 0,"(680, 680)",0,924800,4.624,25.165824,0.0002042884286493063(0.0)
443,4 square 1,"(680, 680)",0,924800,4.624,25.165824,0.00015327266184613107(0.0)
444,4 square 0,"(695, 695)",0,966050,4.83025,25.165824,0.00021958753000944853(0.0)
445,4 square 1,"(695, 695)",0,966050,4.83025,25.165824,0.00015699448995292186(0.0)
446,4 square 0,"(709, 709)",0,1005362,5.02681,25.165824,0.00022093618987128138(0.0)
447,4 square 1,"(709, 709)",0,1005362,5.02681,25.165824,0.0001617109985090792(0.0)
448,4 square 0,"(722, 722)",0,1042568,5.21284,25.165824,0.00020338662900030614(0.0)
449,4 square 1,"(722, 722)",0,1042568,5.21284,25.165824,0.00016815538052469492(0.0)
450,4 square 0,"(736, 736)",0,1083392,5.41696,23.068672,0.00019403617130592466(0.0)
451,4 square 1,"(736, 736)",0,1083392,5.41696,23.068672,0.00017086890060454606(0.0)
452,4 square 0,"(749, 749)",0,1122002,5.61001,23.068672,0.00020351256942376493(0.0)
453,4 square 1,"(749, 749)",0,1122002,5.61001,23.068672,0.00017306082881987094(0.0)
454,4 square 0,"(762, 762)",0,1161288,5.80644,23.068672,0.0002101578190922737(0.0)
455,4 square 1,"(762, 762)",0,1161288,5.80644,23.068672,0.00020869324915111066(0.0)
456,4 square 0,"(775, 775)",0,1201250,6.00625,23.068672,0.00021766501013189554(0.0)
457,4 square 1,"(775, 775)",0,1201250,6.00625,23.068672,0.00018150890013203026(0.0)
458,4 square 0,"(788, 788)",0,1241888,6.20944,23.068672,0.00021702328929677607(0.0)
459,4 square 1,"(788, 788)",0,1241888,6.20944,23.068672,0.0001861637900583446(0.0)
460,4 square 0,"(800, 800)",0,1280000,6.4,23.068672,0.0002213826193474233(0.0)
461,4 square 1,"(800, 800)",0,1280000,6.4,23.068672,0.00019060960039496422(0.0)
462,4 square 0,"(812, 812)",0,1318688,6.59344,23.068672,0.00022669987054541708(0.0)
463,4 square 1,"(812, 812)",0,1318688,6.59344,23.068672,0.00019434706075116992(0.0)
464,4 square 0,"(824, 824)",0,1357952,6.78976,23.068672,0.00022692049853503704(0.0)
465,4 square 1,"(824, 824)",0,1357952,6.78976,23.068672,0.00019565201830118895(0.0)
466,4 square 0,"(836, 836)",0,1397792,6.98896,23.068672,0.00022641472984105348(0.0)
467,4 square 1,"(836, 836)",0,1397792,6.98896,23.068672,0.00019721127115190028(0.0)
468,4 square 0,"(848, 848)",0,1438208,7.19104,23.068672,0.00022540522972121834(0.0)
469,4 square 1,"(848, 848)",0,1438208,7.19104,23.068672,0.0001998166902922094(0.0)
