,"Reduce factor, shape, dim",Input size,Sparsity,Total elements,Input memory,Total Memory,GPU clock time py geo (IQR)
502,4 square 0,"(1026, 1026)",0,2105352,10.52676,23.068672,0.00048597154906019566(0.0)
503,4 square 1,"(1026, 1026)",0,2105352,10.52676,23.068672,0.00027291901875287295(0.0)
504,4 square 0,"(1036, 1036)",0,2146592,10.73296,23.068672,0.00048765914980322125(0.0)
505,4 square 1,"(1036, 1036)",0,2146592,10.73296,23.068672,0.00028286392102018(0.0)
506,4 square 0,"(1045, 1045)",0,2184050,10.92025,23.068672,0.0004923664010129869(0.0)
507,4 square 1,"(1045, 1045)",0,2184050,10.92025,23.068672,0.00028295377967879176(0.0)
508,4 square 0,"(1055, 1055)",0,2226050,11.13025,23.068672,0.0004973755101673305(0.0)
509,4 square 1,"(1055, 1055)",0,2226050,11.13025,23.068672,0.000290885551366955(0.0)
510,4 square 0,"(1064, 1064)",0,2264192,11.32096,23.068672,0.0004967100592330098(0.0)
511,4 square 1,"(1064, 1064)",0,2264192,11.32096,23.068672,0.0002964132488705218(0.0)
512,4 square 0,"(1073, 1073)",0,2302658,11.51329,23.068672,0.0004977635387331248(0.0)
513,4 square 1,"(1073, 1073)",0,2302658,11.51329,23.068672,0.0003029506793245673(0.0)
514,4 square 0,"(1082, 1082)",0,2341448,11.70724,23.068672,0.0005032651009969413(0.0)
515,4 square 1,"(1082, 1082)",0,2341448,11.70724,23.068672,0.00030528892995789646(0.0)
516,4 square 0,"(1091, 1091)",0,2380562,11.90281,23.068672,0.00050908706150949(0.0)
517,4 square 1,"(1091, 1091)",0,2380562,11.90281,23.068672,0.00030869850888848305(0.0)
518,4 square 0,"(1100, 1100)",0,2420000,12.1,23.068672,0.0005097175505943596(0.0)
519,4 square 1,"(1100, 1100)",0,2420000,12.1,23.068672,0.0003119314508512616(0.0)
520,4 square 0,"(1109, 1109)",0,2459762,12.29881,23.068672,0.0005146687710657716(0.0)
521,4 square 1,"(1109, 1109)",0,2459762,12.29881,23.068672,0.0003161525703035295(0.0)
522,4 square 0,"(1118, 1118)",0,2499848,12.49924,23.068672,0.0005206521390937269(0.0)
523,4 square 1,"(1118, 1118)",0,2499848,12.49924,23.068672,0.00032307292101904747(0.0)
524,4 square 0,"(1127, 1127)",0,2540258,12.70129,23.068672,0.0005244684917852283(0.0)
525,4 square 1,"(1127, 1127)",0,2540258,12.70129,23.068672,0.0003269531996920705(0.0)
526,4 square 0,"(1136, 1136)",0,2580992,12.90496,23.068672,0.0005272567784413696(0.0)
527,4 square 1,"(1136, 1136)",0,2580992,12.90496,23.068672,0.0003222492500208318(0.0)
528,4 square 0,"(1144, 1144)",0,2617472,13.08736,23.068672,0.0005313545698300004(0.0)
529,4 square 1,"(1144, 1144)",0,2617472,13.08736,23.068672,0.00032759100198745725(0.0)
530,4 square 0,"(1153, 1153)",0,2658818,13.29409,23.068672,0.0005409723380580544(0.0)
531,4 square 1,"(1153, 1153)",0,2658818,13.29409,23.068672,0.00032235044054687025(0.0)
532,4 square 0,"(1161, 1161)",0,2695842,13.47921,23.068672,0.000547917140647769(0.0)
533,4 square 1,"(1161, 1161)",0,2695842,13.47921,23.068672,0.00032894907984882594(0.0)
534,4 square 0,"(1170, 1170)",0,2737800,13.689,23.068672,0.0005543040786869824(0.0)
535,4 square 1,"(1170, 1170)",0,2737800,13.689,23.068672,0.00033070632023736836(0.0)
536,4 square 0,"(1178, 1178)",0,2775368,13.87684,23.068672,0.0005532727204263211(0.0)
537,4 square 1,"(1178, 1178)",0,2775368,13.87684,23.068672,0.0003379030013456941(0.0)
538,4 square 0,"(1187, 1187)",0,2817938,14.08969,23.068672,0.0005505641689524055(0.0)
539,4 square 1,"(1187, 1187)",0,2817938,14.08969,23.068672,0.0003383076703175902(0.0)
540,4 square 0,"(1195, 1195)",0,2856050,14.28025,23.068672,0.0005600321595557034(0.0)
541,4 square 1,"(1195, 1195)",0,2856050,14.28025,23.068672,0.0003459962806664407(0.0)
542,4 square 0,"(1203, 1203)",0,2894418,14.47209,23.068672,0.0005572443502023816(0.0)
543,4 square 1,"(1203, 1203)",0,2894418,14.47209,23.068672,0.0003485696599818766(0.0)
544,4 square 0,"(1211, 1211)",0,2933042,14.66521,23.068672,0.0005552128911949694(0.0)
545,4 square 1,"(1211, 1211)",0,2933042,14.66521,23.068672,0.0003517389786429703(0.0)
546,4 square 0,"(1219, 1219)",0,2971922,14.85961,23.068672,0.0005535473302006722(0.0)
547,4 square 1,"(1219, 1219)",0,2971922,14.85961,23.068672,0.0003510104911401868(0.0)
548,4 square 0,"(1227, 1227)",0,3011058,15.05529,23.068672,0.0005553559586405754(0.0)
549,4 square 1,"(1227, 1227)",0,3011058,15.05529,23.068672,0.0003589734388515353(0.0)
550,4 square 0,"(1235, 1235)",0,3050450,15.25225,23.068672,0.0005534069496206939(0.0)
551,4 square 1,"(1235, 1235)",0,3050450,15.25225,23.068672,0.000362555340398103(0.0)
552,4 square 0,"(1243, 1243)",0,3090098,15.45049,23.068672,0.0005568443890661001(0.0)
553,4 square 1,"(1243, 1243)",0,3090098,15.45049,23.068672,0.00036422731122002003(0.0)
554,4 square 0,"(1251, 1251)",0,3130002,15.65001,23.068672,0.000553684588521719(0.0)
555,4 square 1,"(1251, 1251)",0,3130002,15.65001,23.068672,0.00036616659024730325(0.0)
556,4 square 0,"(1259, 1259)",0,3170162,15.85081,23.068672,0.0005592249985784292(0.0)
557,4 square 1,"(1259, 1259)",0,3170162,15.85081,23.068672,0.00037085721036419274(0.0)
558,4 square 0,"(1267, 1267)",0,3210578,16.05289,23.068672,0.0005718056997284293(0.0)
559,4 square 1,"(1267, 1267)",0,3210578,16.05289,23.068672,0.0003732680808752775(0.0)
560,4 square 0,"(1275, 1275)",0,3251250,16.25625,23.068672,0.000580414361320436(0.0)
561,4 square 1,"(1275, 1275)",0,3251250,16.25625,23.068672,0.0003840074897743762(0.0)
562,4 square 0,"(1282, 1282)",0,3287048,16.43524,23.068672,0.000591849300544709(0.0)
563,4 square 1,"(1282, 1282)",0,3287048,16.43524,23.068672,0.0003750920621678233(0.0)
