,"Reduce factor, shape, dim",Input size,Sparsity,Total elements,Input memory,Total Memory,GPU clock time py geo (IQR)
127,1 square 1,"(5402, 5402)",0,58363208,291.81604,501.219328,0.004874191290000453(0.0)
128,1 square 0,"(5442, 5442)",0,59230728,296.15364,513.80224,0.00746496086998377(0.0)
129,1 square 1,"(5442, 5442)",0,59230728,296.15364,513.80224,0.004949739160074387(0.0)
130,1 square 0,"(5482, 5482)",0,60104648,300.52324,517.996544,0.007645802420011023(0.0)
131,1 square 1,"(5482, 5482)",0,60104648,300.52324,517.996544,0.00502296373990248(0.0)
132,1 square 0,"(5522, 5522)",0,60984968,304.92484,530.579456,0.007809353539923905(0.0)
133,1 square 1,"(5522, 5522)",0,60984968,304.92484,530.579456,0.005100510699994629(0.0)
134,1 square 0,"(5562, 5562)",0,61871688,309.35844,534.77376,0.008015151060099014(0.0)
135,1 square 1,"(5562, 5562)",0,61871688,309.35844,534.77376,0.0051747026199882385(0.0)
136,1 square 0,"(5601, 5601)",0,62742402,313.71201,536.870912,0.008159650470042834(0.0)
137,1 square 1,"(5601, 5601)",0,62742402,313.71201,536.870912,0.005250638730067294(0.0)
138,1 square 0,"(5640, 5640)",0,63619200,318.096,551.550976,0.00835813269004575(0.0)
139,1 square 1,"(5640, 5640)",0,63619200,318.096,551.550976,0.005328774709923891(0.0)
140,1 square 0,"(5679, 5679)",0,64502082,322.51041,555.74528,0.008504117600095925(0.0)
141,1 square 1,"(5679, 5679)",0,64502082,322.51041,555.74528,0.005402782470046077(0.0)
142,1 square 0,"(5718, 5718)",0,65391048,326.95524,566.23104,0.0086971482700028(0.0)
143,1 square 1,"(5718, 5718)",0,65391048,326.95524,566.23104,0.005478725819993997(0.0)
144,1 square 0,"(5756, 5756)",0,66263072,331.31536,570.425344,0.008858370520028984(0.0)
145,1 square 1,"(5756, 5756)",0,66263072,331.31536,570.425344,0.005557442069984973(0.0)
146,1 square 0,"(5794, 5794)",0,67140872,335.70436,585.105408,0.009022756459889933(0.0)
147,1 square 1,"(5794, 5794)",0,67140872,335.70436,585.105408,0.005648518879897892(0.0)
148,1 square 0,"(5832, 5832)",0,68024448,340.12224,587.20256,0.009196137679973617(0.0)
149,1 square 1,"(5832, 5832)",0,68024448,340.12224,587.20256,0.0057157192099839445(0.0)
150,1 square 0,"(5869, 5869)",0,68890322,344.45161,591.396864,0.009374448080052389(0.0)
151,1 square 1,"(5869, 5869)",0,68890322,344.45161,591.396864,0.005786585280002327(0.0)
152,1 square 0,"(5907, 5907)",0,69785298,348.92649,603.979776,0.009547515119920717(0.0)
153,1 square 1,"(5907, 5907)",0,69785298,348.92649,603.979776,0.005863328549894504(0.0)
154,1 square 0,"(5944, 5944)",0,70662272,353.31136,606.076928,0.00973668232007185(0.0)
155,1 square 1,"(5944, 5944)",0,70662272,353.31136,606.076928,0.005940122690080898(0.0)
156,1 square 0,"(5981, 5981)",0,71544722,357.72361,620.756992,0.009900962079991587(0.0)
157,1 square 1,"(5981, 5981)",0,71544722,357.72361,620.756992,0.00601526554004522(0.0)
158,1 square 0,"(6017, 6017)",0,72408578,362.04289,624.951296,0.010080634879996069(0.0)
159,1 square 1,"(6017, 6017)",0,72408578,362.04289,624.951296,0.006088562490040203(0.0)
160,1 square 0,"(6054, 6054)",0,73301832,366.50916,627.048448,0.01027267381999991(0.0)
161,1 square 1,"(6054, 6054)",0,73301832,366.50916,627.048448,0.006166255749994889(0.0)
162,1 square 0,"(6090, 6090)",0,74176200,370.881,639.63136,0.010422647700033849(0.0)
163,1 square 1,"(6090, 6090)",0,74176200,370.881,639.63136,0.006242702460003784(0.0)
164,1 square 0,"(6126, 6126)",0,75055752,375.27876,643.825664,0.010641089970013127(0.0)
165,1 square 1,"(6126, 6126)",0,75055752,375.27876,643.825664,0.006314160070032813(0.0)
166,1 square 0,"(6161, 6161)",0,75915842,379.57921,656.408576,0.010772324609861243(0.0)
167,1 square 1,"(6161, 6161)",0,75915842,379.57921,656.408576,0.006392949399887584(0.0)
168,1 square 0,"(6197, 6197)",0,76805618,384.02809,660.60288,0.0109559436798736(0.0)
169,1 square 1,"(6197, 6197)",0,76805618,384.02809,660.60288,0.006469000350043643(0.0)
170,1 square 0,"(6232, 6232)",0,77675648,388.37824,673.185792,0.011128766990004806(0.0)
171,1 square 1,"(6232, 6232)",0,77675648,388.37824,673.185792,0.0065465752998716195(0.0)
172,1 square 0,"(6268, 6268)",0,78575648,392.87824,675.282944,0.011329767380084376(0.0)
173,1 square 1,"(6268, 6268)",0,78575648,392.87824,675.282944,0.0066250940298778005(0.0)
174,1 square 0,"(6302, 6302)",0,79430408,397.15204,679.477248,0.011481258659914602(0.0)
175,1 square 1,"(6302, 6302)",0,79430408,397.15204,679.477248,0.006699220480077202(0.0)
176,1 square 0,"(6337, 6337)",0,80315138,401.57569,694.157312,0.011670773890073179(0.0)
177,1 square 1,"(6337, 6337)",0,80315138,401.57569,694.157312,0.006776677309972001(0.0)
178,1 square 0,"(6372, 6372)",0,81204768,406.02384,696.254464,0.011830054160091094(0.0)
179,1 square 1,"(6372, 6372)",0,81204768,406.02384,696.254464,0.006852437050110893(0.0)
180,1 square 0,"(6406, 6406)",0,82073672,410.36836,708.837376,0.012012202390033054(0.0)
181,1 square 1,"(6406, 6406)",0,82073672,410.36836,708.837376,0.006926537949912017(0.0)
182,1 square 0,"(6440, 6440)",0,82947200,414.736,713.03168,0.01218657445991994(0.0)
183,1 square 1,"(6440, 6440)",0,82947200,414.736,713.03168,0.007001625820121263(0.0)
184,1 square 0,"(6474, 6474)",0,83825352,419.12676,715.128832,0.012367419450019951(0.0)
185,1 square 1,"(6474, 6474)",0,83825352,419.12676,715.128832,0.007082298530003754(0.0)
