,"Reduce factor, shape, dim",Input size,Sparsity,Total elements,Input memory,Total Memory,GPU clock time py geo (IQR),GPU clock time native (IQR)
688,8 square 0,"(957, 957)",0,1831698,9.15849,23.068672,0.0003812162601388991(0.0),0.00035716990008950234(0.0)
689,8 square 1,"(957, 957)",0,1831698,9.15849,23.068672,0.00016504695871844889(0.0),0.00010109197115525604(0.0)
690,8 square 0,"(967, 967)",0,1870178,9.35089,23.068672,0.0003810235904529691(0.0),0.000346697298809886(0.0)
691,8 square 1,"(967, 967)",0,1870178,9.35089,23.068672,0.00016594095155596732(0.0),0.00010556021938100457(0.0)
692,8 square 0,"(977, 977)",0,1909058,9.54529,23.068672,0.00037765552056953313(0.0),0.0003557447087951004(0.0)
693,8 square 1,"(977, 977)",0,1909058,9.54529,23.068672,0.00016726495930925012(0.0),0.00010710093891248108(0.0)
694,8 square 0,"(987, 987)",0,1948338,9.74169,23.068672,0.00043926697224378586(0.0),0.0003363815182819963(0.0)
695,8 square 1,"(987, 987)",0,1948338,9.74169,23.068672,0.00016955788945779204(0.0),0.00010956228012219071(0.0)
696,8 square 0,"(997, 997)",0,1988018,9.94009,23.068672,0.00038061661878600715(0.0),0.00033358903136104345(0.0)
697,8 square 1,"(997, 997)",0,1988018,9.94009,23.068672,0.0001740537886507809(0.0),0.00011565600987523795(0.0)
698,8 square 0,"(1007, 1007)",0,2028098,10.14049,23.068672,0.00037670231889933345(0.0),0.00036578870145604015(0.0)
699,8 square 1,"(1007, 1007)",0,2028098,10.14049,23.068672,0.0001789500401355326(0.0),0.00011134114814922214(0.0)
700,8 square 0,"(1017, 1017)",0,2068578,10.34289,23.068672,0.0003640047204680741(0.0),0.0003219619509764016(0.0)
701,8 square 1,"(1017, 1017)",0,2068578,10.34289,23.068672,0.00018340926850214602(0.0),0.0001093400688841939(0.0)
702,8 square 0,"(1026, 1026)",0,2105352,10.52676,23.068672,0.0003675427101552486(0.0),0.0003619134612381458(0.0)
703,8 square 1,"(1026, 1026)",0,2105352,10.52676,23.068672,0.00017814171034842728(0.0),0.00011304117040708661(0.0)
704,8 square 0,"(1036, 1036)",0,2146592,10.73296,23.068672,0.0003591421293094754(0.0),0.00034233635989949107(0.0)
705,8 square 1,"(1036, 1036)",0,2146592,10.73296,23.068672,0.00018521548015996815(0.0),0.00011752382852137089(0.0)
706,8 square 0,"(1045, 1045)",0,2184050,10.92025,23.068672,0.000368046669755131(0.0),0.00033794858027249577(0.0)
707,8 square 1,"(1045, 1045)",0,2184050,10.92025,23.068672,0.00018995062913745641(0.0),0.00012337379157543183(0.0)
708,8 square 0,"(1055, 1055)",0,2226050,11.13025,23.068672,0.0003695216495543718(0.0),0.0003409195877611637(0.0)
709,8 square 1,"(1055, 1055)",0,2226050,11.13025,23.068672,0.00019038476049900054(0.0),0.000122596831060946(0.0)
710,8 square 0,"(1064, 1064)",0,2264192,11.32096,23.068672,0.0003749915887601674(0.0),0.00036427432904019954(0.0)
711,8 square 1,"(1064, 1064)",0,2264192,11.32096,23.068672,0.00019066699082031846(0.0),0.0001277586817741394(0.0)
712,8 square 0,"(1073, 1073)",0,2302658,11.51329,23.068672,0.00038202288094908(0.0),0.0003405091096647084(0.0)
713,8 square 1,"(1073, 1073)",0,2302658,11.51329,23.068672,0.0001940323505550623(0.0),0.00012703520944342016(0.0)
714,8 square 0,"(1082, 1082)",0,2341448,11.70724,23.068672,0.0003950892691500485(0.0),0.0003455691784620285(0.0)
715,8 square 1,"(1082, 1082)",0,2341448,11.70724,23.068672,0.00019418874057009817(0.0),0.00012839448871091008(0.0)
716,8 square 0,"(1091, 1091)",0,2380562,11.90281,23.068672,0.00039654843974858524(0.0),0.0003694237698800862(0.0)
717,8 square 1,"(1091, 1091)",0,2380562,11.90281,23.068672,0.0001965705514885485(0.0),0.00012611547950655222(0.0)
718,8 square 0,"(1100, 1100)",0,2420000,12.1,23.068672,0.000400479668751359(0.0),0.00035076018888503314(0.0)
719,8 square 1,"(1100, 1100)",0,2420000,12.1,23.068672,0.00019894623896107077(0.0),0.0001339246309362352(0.0)
