,"Reduce factor, shape, dim",Input size,Sparsity,Total elements,Input memory,Total Memory,GPU clock time py geo (IQR)
158,1 square 0,"(6017, 6017)",0,72408578,362.04289,769.654784,0.011193424270022661(0.0)
159,1 square 1,"(6017, 6017)",0,72408578,362.04289,769.654784,0.005261868069937919(0.0)
160,1 square 0,"(6054, 6054)",0,73301832,366.50916,773.849088,0.011349040549976052(0.0)
161,1 square 1,"(6054, 6054)",0,73301832,366.50916,773.849088,0.0053537856999901125(0.0)
162,1 square 0,"(6090, 6090)",0,74176200,370.881,786.432,0.011505350259976694(0.0)
163,1 square 1,"(6090, 6090)",0,74176200,370.881,786.432,0.005410160820028978(0.0)
164,1 square 0,"(6126, 6126)",0,75055752,375.27876,794.820608,0.01168728397009545(0.0)
165,1 square 1,"(6126, 6126)",0,75055752,375.27876,794.820608,0.005457062979985494(0.0)
166,1 square 0,"(6161, 6161)",0,75915842,379.57921,805.306368,0.011834683469933225(0.0)
167,1 square 1,"(6161, 6161)",0,75915842,379.57921,805.306368,0.005549702900025295(0.0)
168,1 square 0,"(6197, 6197)",0,76805618,384.02809,813.694976,0.01203636103993631(0.0)
169,1 square 1,"(6197, 6197)",0,76805618,384.02809,813.694976,0.005600388500024565(0.0)
170,1 square 0,"(6232, 6232)",0,77675648,388.37824,826.277888,0.012189506819995586(0.0)
171,1 square 1,"(6232, 6232)",0,77675648,388.37824,826.277888,0.005666204120061593(0.0)
172,1 square 0,"(6268, 6268)",0,78575648,392.87824,830.472192,0.012381766350008547(0.0)
173,1 square 1,"(6268, 6268)",0,78575648,392.87824,830.472192,0.005738751650060294(0.0)
174,1 square 0,"(6302, 6302)",0,79430408,397.15204,838.8608,0.0125409381899226(0.0)
175,1 square 1,"(6302, 6302)",0,79430408,397.15204,838.8608,0.00582017843000358(0.0)
176,1 square 0,"(6337, 6337)",0,80315138,401.57569,853.540864,0.012684313859936083(0.0)
177,1 square 1,"(6337, 6337)",0,80315138,401.57569,853.540864,0.005938370660005603(0.0)
178,1 square 0,"(6372, 6372)",0,81204768,406.02384,857.735168,0.012859244830033277(0.0)
179,1 square 1,"(6372, 6372)",0,81204768,406.02384,857.735168,0.005966275219980162(0.0)
180,1 square 0,"(6406, 6406)",0,82073672,410.36836,870.31808,0.01301911720991484(0.0)
181,1 square 1,"(6406, 6406)",0,82073672,410.36836,870.31808,0.006047339129872853(0.0)
182,1 square 0,"(6440, 6440)",0,82947200,414.736,878.706688,0.013198645170050441(0.0)
183,1 square 1,"(6440, 6440)",0,82947200,414.736,878.706688,0.006098941480013309(0.0)
184,1 square 0,"(6474, 6474)",0,83825352,419.12676,882.900992,0.013359366780059645(0.0)
185,1 square 1,"(6474, 6474)",0,83825352,419.12676,882.900992,0.006173342030087951(0.0)
186,1 square 0,"(6508, 6508)",0,84708128,423.54064,897.581056,0.013527757660049246(0.0)
187,1 square 1,"(6508, 6508)",0,84708128,423.54064,897.581056,0.006242600580008002(0.0)
188,1 square 0,"(6542, 6542)",0,85595528,427.97764,905.969664,0.013690441179933259(0.0)
189,1 square 1,"(6542, 6542)",0,85595528,427.97764,905.969664,0.006331787539966172(0.0)
190,1 square 0,"(6575, 6575)",0,86461250,432.30625,914.358272,0.013860600010084455(0.0)
191,1 square 1,"(6575, 6575)",0,86461250,432.30625,914.358272,0.006388856320118066(0.0)
192,1 square 0,"(6609, 6609)",0,87357762,436.78881,922.74688,0.01402955928002484(0.0)
193,1 square 1,"(6609, 6609)",0,87357762,436.78881,922.74688,0.006482441569969524(0.0)
194,1 square 0,"(6642, 6642)",0,88232328,441.16164,937.426944,0.014199689170054626(0.0)
195,1 square 1,"(6642, 6642)",0,88232328,441.16164,937.426944,0.0065359070699196305(0.0)
196,1 square 0,"(6675, 6675)",0,89111250,445.55625,941.621248,0.014371897789969808(0.0)
197,1 square 1,"(6675, 6675)",0,89111250,445.55625,941.621248,0.006631841850030469(0.0)
198,1 square 0,"(6708, 6708)",0,89994528,449.97264,950.009856,0.014530784289963777(0.0)
199,1 square 1,"(6708, 6708)",0,89994528,449.97264,950.009856,0.006703941369923996(0.0)
200,2 square 0,"(1224, 1224)",0,2996352,14.98176,44.040192,0.00021741988995927386(0.0)
201,2 square 1,"(1224, 1224)",0,2996352,14.98176,44.040192,0.00021129394008312374(0.0)
202,2 square 0,"(1392, 1392)",0,3875328,19.37664,44.040192,0.00025561022994224913(0.0)
203,2 square 1,"(1392, 1392)",0,3875328,19.37664,44.040192,0.000263352829933865(0.0)
204,2 square 0,"(1542, 1542)",0,4755528,23.77764,44.040192,0.000312451339996187(0.0)
205,2 square 1,"(1542, 1542)",0,4755528,23.77764,44.040192,0.0003232899800059386(0.0)
