,"Reduce factor, shape, dim",Input size,Sparsity,Total elements,Input memory,Total Memory,GPU clock time py geo (IQR)
145,1 square 1,"(5756, 5756)",0,66263072,331.31536,702.54592,0.004742331649904372(0.0)
146,1 square 0,"(5794, 5794)",0,67140872,335.70436,717.225984,0.010165092160023051(0.0)
147,1 square 1,"(5794, 5794)",0,67140872,335.70436,717.225984,0.004817595790082123(0.0)
148,1 square 0,"(5832, 5832)",0,68024448,340.12224,721.420288,0.010333846459980122(0.0)
149,1 square 1,"(5832, 5832)",0,68024448,340.12224,721.420288,0.004894886730035068(0.0)
150,1 square 0,"(5869, 5869)",0,68890322,344.45161,729.808896,0.010494611360045383(0.0)
151,1 square 1,"(5869, 5869)",0,68890322,344.45161,729.808896,0.004959748789988225(0.0)
152,1 square 0,"(5907, 5907)",0,69785298,348.92649,742.391808,0.010666528520087013(0.0)
153,1 square 1,"(5907, 5907)",0,69785298,348.92649,742.391808,0.005047546620044158(0.0)
154,1 square 0,"(5944, 5944)",0,70662272,353.31136,746.586112,0.010835103880090173(0.0)
155,1 square 1,"(5944, 5944)",0,70662272,353.31136,746.586112,0.005114332600060152(0.0)
156,1 square 0,"(5981, 5981)",0,71544722,357.72361,761.266176,0.011004309810086852(0.0)
157,1 square 1,"(5981, 5981)",0,71544722,357.72361,761.266176,0.005194444689986994(0.0)
158,1 square 0,"(6017, 6017)",0,72408578,362.04289,769.654784,0.011172762620117283(0.0)
159,1 square 1,"(6017, 6017)",0,72408578,362.04289,769.654784,0.0052656383199791885(0.0)
160,1 square 0,"(6054, 6054)",0,73301832,366.50916,773.849088,0.011341457780072233(0.0)
161,1 square 1,"(6054, 6054)",0,73301832,366.50916,773.849088,0.0053339410699845755(0.0)
162,1 square 0,"(6090, 6090)",0,74176200,370.881,786.432,0.011502123779937392(0.0)
163,1 square 1,"(6090, 6090)",0,74176200,370.881,786.432,0.00537990749013261(0.0)
164,1 square 0,"(6126, 6126)",0,75055752,375.27876,794.820608,0.011682879319996573(0.0)
165,1 square 1,"(6126, 6126)",0,75055752,375.27876,794.820608,0.0054680756000743715(0.0)
166,1 square 0,"(6161, 6161)",0,75915842,379.57921,805.306368,0.01184163167999941(0.0)
167,1 square 1,"(6161, 6161)",0,75915842,379.57921,805.306368,0.005527142600039951(0.0)
168,1 square 0,"(6197, 6197)",0,76805618,384.02809,813.694976,0.012002795689913909(0.0)
169,1 square 1,"(6197, 6197)",0,76805618,384.02809,813.694976,0.005581979999988107(0.0)
170,1 square 0,"(6232, 6232)",0,77675648,388.37824,826.277888,0.012182136150076985(0.0)
171,1 square 1,"(6232, 6232)",0,77675648,388.37824,826.277888,0.0056551093699818014(0.0)
172,1 square 0,"(6268, 6268)",0,78575648,392.87824,830.472192,0.01235398946009809(0.0)
173,1 square 1,"(6268, 6268)",0,78575648,392.87824,830.472192,0.005734529920009663(0.0)
174,1 square 0,"(6302, 6302)",0,79430408,397.15204,838.8608,0.012515917909913696(0.0)
175,1 square 1,"(6302, 6302)",0,79430408,397.15204,838.8608,0.00579999901005067(0.0)
176,1 square 0,"(6337, 6337)",0,80315138,401.57569,853.540864,0.012688208040053724(0.0)
177,1 square 1,"(6337, 6337)",0,80315138,401.57569,853.540864,0.005895466399961151(0.0)
178,1 square 0,"(6372, 6372)",0,81204768,406.02384,857.735168,0.012850469099939801(0.0)
179,1 square 1,"(6372, 6372)",0,81204768,406.02384,857.735168,0.0059636644399142826(0.0)
180,1 square 0,"(6406, 6406)",0,82073672,410.36836,870.31808,0.013024581560021033(0.0)
181,1 square 1,"(6406, 6406)",0,82073672,410.36836,870.31808,0.006038483989977976(0.0)
182,1 square 0,"(6440, 6440)",0,82947200,414.736,878.706688,0.013185014460032108(0.0)
183,1 square 1,"(6440, 6440)",0,82947200,414.736,878.706688,0.006085808179923333(0.0)
184,1 square 0,"(6474, 6474)",0,83825352,419.12676,882.900992,0.01335781183996005(0.0)
185,1 square 1,"(6474, 6474)",0,83825352,419.12676,882.900992,0.006213222540100105(0.0)
186,1 square 0,"(6508, 6508)",0,84708128,423.54064,897.581056,0.013524526100081858(0.0)
187,1 square 1,"(6508, 6508)",0,84708128,423.54064,897.581056,0.006248753139952896(0.0)
188,1 square 0,"(6542, 6542)",0,85595528,427.97764,905.969664,0.013695203659881371(0.0)
189,1 square 1,"(6542, 6542)",0,85595528,427.97764,905.969664,0.006331230359937763(0.0)
190,1 square 0,"(6575, 6575)",0,86461250,432.30625,914.358272,0.013861221690021922(0.0)
191,1 square 1,"(6575, 6575)",0,86461250,432.30625,914.358272,0.006384975279943319(0.0)
192,1 square 0,"(6609, 6609)",0,87357762,436.78881,922.74688,0.014032239370135358(0.0)
193,1 square 1,"(6609, 6609)",0,87357762,436.78881,922.74688,0.006464002579887165(0.0)
194,1 square 0,"(6642, 6642)",0,88232328,441.16164,937.426944,0.014200753930053907(0.0)
195,1 square 1,"(6642, 6642)",0,88232328,441.16164,937.426944,0.006516765130072599(0.0)
196,1 square 0,"(6675, 6675)",0,89111250,445.55625,941.621248,0.014361801769991871(0.0)
197,1 square 1,"(6675, 6675)",0,89111250,445.55625,941.621248,0.006613845149986446(0.0)
198,1 square 0,"(6708, 6708)",0,89994528,449.97264,950.009856,0.014532164609991014(0.0)
199,1 square 1,"(6708, 6708)",0,89994528,449.97264,950.009856,0.00669119566999143(0.0)
200,2 square 0,"(1224, 1224)",0,2996352,14.98176,44.040192,0.000220057020051172(0.0)
201,2 square 1,"(1224, 1224)",0,2996352,14.98176,44.040192,0.0002112877399486024(0.0)
202,2 square 0,"(1392, 1392)",0,3875328,19.37664,44.040192,0.00025561902002664284(0.0)
203,2 square 1,"(1392, 1392)",0,3875328,19.37664,44.040192,0.00026537867001025006(0.0)
204,2 square 0,"(1542, 1542)",0,4755528,23.77764,44.040192,0.0003128735399513971(0.0)
205,2 square 1,"(1542, 1542)",0,4755528,23.77764,44.040192,0.0003251467298832722(0.0)
206,2 square 0,"(1678, 1678)",0,5631368,28.15684,67.108864,0.00036612247000448404(0.0)
207,2 square 1,"(1678, 1678)",0,5631368,28.15684,67.108864,0.0003890098400006536(0.0)
208,2 square 0,"(1804, 1804)",0,6508832,32.54416,65.011712,0.0004068784999253694(0.0)
209,2 square 1,"(1804, 1804)",0,6508832,32.54416,65.011712,0.0004460545400797855(0.0)
210,2 square 0,"(1922, 1922)",0,7388168,36.94084,71.303168,0.00044579324996448123(0.0)
211,2 square 1,"(1922, 1922)",0,7388168,36.94084,71.303168,0.0005012471700320021(0.0)
212,2 square 0,"(2033, 2033)",0,8266178,41.33089,73.40032,0.0004906407100497745(0.0)
213,2 square 1,"(2033, 2033)",0,8266178,41.33089,73.40032,0.0005555277501116506(0.0)
214,2 square 0,"(2139, 2139)",0,9150642,45.75321,79.691776,0.0005364490899955854(0.0)
215,2 square 1,"(2139, 2139)",0,9150642,45.75321,79.691776,0.0006127886800095439(0.0)
216,2 square 0,"(2239, 2239)",0,10026242,50.13121,85.983232,0.0005867001700971741(0.0)
217,2 square 1,"(2239, 2239)",0,10026242,50.13121,85.983232,0.0006688982198829762(0.0)
218,2 square 0,"(2335, 2335)",0,10904450,54.52225,102.760448,0.0006436436899821274(0.0)
219,2 square 1,"(2335, 2335)",0,10904450,54.52225,102.760448,0.0007255593199806754(0.0)
220,2 square 0,"(2427, 2427)",0,11780658,58.90329,109.051904,0.0007006717800686602(0.0)
221,2 square 1,"(2427, 2427)",0,11780658,58.90329,109.051904,0.0007816242700209842(0.0)
222,2 square 0,"(2516, 2516)",0,12660512,63.30256,117.440512,0.0007583851499657613(0.0)
223,2 square 1,"(2516, 2516)",0,12660512,63.30256,117.440512,0.0008391346699499991(0.0)
224,2 square 0,"(2602, 2602)",0,13540808,67.70404,119.537664,0.000815712710027583(0.0)
225,2 square 1,"(2602, 2602)",0,13540808,67.70404,119.537664,0.0009014685799775179(0.0)
226,2 square 0,"(2685, 2685)",0,14418450,72.09225,125.82912,0.0008770285900391172(0.0)
227,2 square 1,"(2685, 2685)",0,14418450,72.09225,125.82912,0.0009637172300426756(0.0)
228,2 square 0,"(2766, 2766)",0,15301512,76.50756,134.217728,0.0009364595099759753(0.0)
229,2 square 1,"(2766, 2766)",0,15301512,76.50756,134.217728,0.001025770209962502(0.0)
230,2 square 0,"(2844, 2844)",0,16176672,80.88336,138.412032,0.0009971156499523203(0.0)
231,2 square 1,"(2844, 2844)",0,16176672,80.88336,138.412032,0.0010864000899891834(0.0)
232,2 square 0,"(2920, 2920)",0,17052800,85.264,146.80064,0.0010576315299840643(0.0)
233,2 square 1,"(2920, 2920)",0,17052800,85.264,146.80064,0.0011474084999645129(0.0)
234,2 square 0,"(2994, 2994)",0,17928072,89.64036,153.092096,0.0011228442800347693(0.0)
235,2 square 1,"(2994, 2994)",0,17928072,89.64036,153.092096,0.0012091286599752492(0.0)
236,2 square 0,"(3067, 3067)",0,18812978,94.06489,155.189248,0.0011852306900254916(0.0)
237,2 square 1,"(3067, 3067)",0,18812978,94.06489,155.189248,0.0012713931300095283(0.0)
238,2 square 0,"(3138, 3138)",0,19694088,98.47044,163.577856,0.0012518389699107501(0.0)
239,2 square 1,"(3138, 3138)",0,19694088,98.47044,163.577856,0.0013397998099389952(0.0)
240,2 square 0,"(3207, 3207)",0,20569698,102.84849,169.869312,0.0013202466499933508(0.0)
241,2 square 1,"(3207, 3207)",0,20569698,102.84849,169.869312,0.0014022771999589168(0.0)
242,2 square 0,"(3275, 3275)",0,21451250,107.25625,188.74368,0.001385268659942085(0.0)
243,2 square 1,"(3275, 3275)",0,21451250,107.25625,188.74368,0.0014627581999229733(0.0)
244,2 square 0,"(3341, 3341)",0,22324562,111.62281,195.035136,0.001451973020011792(0.0)
245,2 square 1,"(3341, 3341)",0,22324562,111.62281,195.035136,0.0015254604099027348(0.0)
246,2 square 0,"(3406, 3406)",0,23201672,116.00836,203.423744,0.0015260397001111415(0.0)
247,2 square 1,"(3406, 3406)",0,23201672,116.00836,203.423744,0.001593947050132556(0.0)
248,2 square 0,"(3470, 3470)",0,24081800,120.409,205.520896,0.001598799420025898(0.0)
249,2 square 1,"(3470, 3470)",0,24081800,120.409,205.520896,0.001658464580104919(0.0)
250,2 square 0,"(3533, 3533)",0,24964178,124.82089,211.812352,0.0016705484100384637(0.0)
251,2 square 1,"(3533, 3533)",0,24964178,124.82089,211.812352,0.0017289416800485924(0.0)
252,2 square 0,"(3595, 3595)",0,25848050,129.24025,222.298112,0.0017440047400305047(0.0)
253,2 square 1,"(3595, 3595)",0,25848050,129.24025,222.298112,0.0017982515699986835(0.0)
254,2 square 0,"(3655, 3655)",0,26718050,133.59025,226.492416,0.0018195959000149742(0.0)
255,2 square 1,"(3655, 3655)",0,26718050,133.59025,226.492416,0.0018614438000076916(0.0)
256,2 square 0,"(3715, 3715)",0,27602450,138.01225,234.881024,0.0018946051699458622(0.0)
257,2 square 1,"(3715, 3715)",0,27602450,138.01225,234.881024,0.0019291295199946035(0.0)
258,2 square 0,"(3773, 3773)",0,28471058,142.35529,241.17248,0.0019750555099744813(0.0)
259,2 square 1,"(3773, 3773)",0,28471058,142.35529,241.17248,0.0019996854600321965(0.0)
260,2 square 0,"(3831, 3831)",0,29353122,146.76561,243.269632,0.0020523929700721056(0.0)
261,2 square 1,"(3831, 3831)",0,29353122,146.76561,243.269632,0.002067570369981695(0.0)
262,2 square 0,"(3888, 3888)",0,30233088,151.16544,253.755392,0.0021246571600204334(0.0)
263,2 square 1,"(3888, 3888)",0,30233088,151.16544,253.755392,0.0021375615299621133(0.0)
264,2 square 0,"(3944, 3944)",0,31110272,155.55136,260.046848,0.002208876109943958(0.0)
265,2 square 1,"(3944, 3944)",0,31110272,155.55136,260.046848,0.002204828559915768(0.0)
266,2 square 0,"(4000, 4000)",0,32000000,160.0,268.435456,0.0022892585399677044(0.0)
267,2 square 1,"(4000, 4000)",0,32000000,160.0,268.435456,0.002271658070094418(0.0)
268,2 square 0,"(4054, 4054)",0,32869832,164.34916,272.62976,0.0023605206099455243(0.0)
269,2 square 1,"(4054, 4054)",0,32869832,164.34916,272.62976,0.0023540209198836238(0.0)
270,2 square 0,"(4108, 4108)",0,33751328,168.75664,283.11552,0.002450079469999764(0.0)
271,2 square 1,"(4108, 4108)",0,33751328,168.75664,283.11552,0.0024277340401022227(0.0)
272,2 square 0,"(4161, 4161)",0,34627842,173.13921,289.406976,0.002531649830052629(0.0)
273,2 square 1,"(4161, 4161)",0,34627842,173.13921,289.406976,0.0024920753300830254(0.0)
274,2 square 0,"(4213, 4213)",0,35498738,177.49369,291.504128,0.002613352039916208(0.0)
