,"Reduce factor, shape, dim",Input size,Sparsity,Total elements,Input memory,Total Memory,GPU clock time py geo (IQR)
454,4 square 0,"(762, 762)",0,1161288,5.80644,23.068672,0.00021025833906605838(0.0)
455,4 square 1,"(762, 762)",0,1161288,5.80644,23.068672,0.00017688354011625052(0.0)
456,4 square 0,"(775, 775)",0,1201250,6.00625,23.068672,0.000216088208835572(0.0)
457,4 square 1,"(775, 775)",0,1201250,6.00625,23.068672,0.00018052235012874006(0.0)
458,4 square 0,"(788, 788)",0,1241888,6.20944,23.068672,0.00021671430906280875(0.0)
459,4 square 1,"(788, 788)",0,1241888,6.20944,23.068672,0.00018664779141545296(0.0)
460,4 square 0,"(800, 800)",0,1280000,6.4,23.068672,0.00022088292986154555(0.0)
461,4 square 1,"(800, 800)",0,1280000,6.4,23.068672,0.00018913039937615395(0.0)
462,4 square 0,"(812, 812)",0,1318688,6.59344,23.068672,0.00022697811014950277(0.0)
463,4 square 1,"(812, 812)",0,1318688,6.59344,23.068672,0.00019370609894394874(0.0)
464,4 square 0,"(824, 824)",0,1357952,6.78976,23.068672,0.00022569526918232442(0.0)
465,4 square 1,"(824, 824)",0,1357952,6.78976,23.068672,0.00019604484084993602(0.0)
466,4 square 0,"(836, 836)",0,1397792,6.98896,23.068672,0.0002257978590205312(0.0)
467,4 square 1,"(836, 836)",0,1397792,6.98896,23.068672,0.00019651012029498816(0.0)
468,4 square 0,"(848, 848)",0,1438208,7.19104,23.068672,0.00022530813002958895(0.0)
469,4 square 1,"(848, 848)",0,1438208,7.19104,23.068672,0.0002016310510225594(0.0)
470,4 square 0,"(859, 859)",0,1475762,7.37881,23.068672,0.00024321574950590728(0.0)
471,4 square 1,"(859, 859)",0,1475762,7.37881,23.068672,0.00020145400892943144(0.0)
472,4 square 0,"(871, 871)",0,1517282,7.58641,23.068672,0.0002244517090730369(0.0)
473,4 square 1,"(871, 871)",0,1517282,7.58641,23.068672,0.00020487570902332663(0.0)
474,4 square 0,"(882, 882)",0,1555848,7.77924,23.068672,0.0002238031686283648(0.0)
475,4 square 1,"(882, 882)",0,1555848,7.77924,23.068672,0.00021050601033493878(0.0)
476,4 square 0,"(893, 893)",0,1594898,7.97449,23.068672,0.00022746754111722112(0.0)
477,4 square 1,"(893, 893)",0,1594898,7.97449,23.068672,0.00021471750922501088(0.0)
478,4 square 0,"(904, 904)",0,1634432,8.17216,23.068672,0.0002289370191283524(0.0)
479,4 square 1,"(904, 904)",0,1634432,8.17216,23.068672,0.00021519992034882307(0.0)
480,4 square 0,"(915, 915)",0,1674450,8.37225,23.068672,0.0002365510887466371(0.0)
481,4 square 1,"(915, 915)",0,1674450,8.37225,23.068672,0.0002207586797885597(0.0)
