,"Input dims, index dim, reduce factor (RF)",Input size,Sparsity,Total elements,Input memory,Total Memory,GPU clock time (fuse) (IQR),GPU clock time (no fuse) (IQR)
127,2; 1; 1,"(11401, 11401)",0,129994202,260.05681,1042.284544,0.015514130641240626(0.0),0.015514020170085132(0.0)
128,2; 0; 1,"(11486, 11486)",0,131939682,263.94828,1319.108608,0.005796384511049837(0.0),0.0057933389698155225(0.0)
129,2; 1; 1,"(11486, 11486)",0,131939682,263.94828,1059.06176,0.014457595578860491(0.0),0.014469591630622745(0.0)
130,2; 0; 1,"(11571, 11571)",0,133899612,267.86865,1340.080128,0.005900736369658262(0.0),0.005895232388284057(0.0)
131,2; 1; 1,"(11571, 11571)",0,133899612,267.86865,1075.838976,0.013492688657715917(0.0),0.01354591262061149(0.0)
132,2; 0; 1,"(11654, 11654)",0,135827370,271.724664,1361.051648,0.005969106310512871(0.0),0.005966598109807819(0.0)
133,2; 1; 1,"(11654, 11654)",0,135827370,271.724664,1092.616192,0.014040045738220215(0.0),0.014062495459802449(0.0)
134,2; 0; 1,"(11737, 11737)",0,137768906,275.608234,1382.023168,0.006066436590626836(0.0),0.006067958509083838(0.0)
135,2; 1; 1,"(11737, 11737)",0,137768906,275.608234,1109.393408,0.014656323129311205(0.0),0.014725460619665683(0.0)
136,2; 0; 1,"(11820, 11820)",0,139724220,279.51936,1402.994688,0.006097917130682617(0.0),0.006099153410177678(0.0)
137,2; 1; 1,"(11820, 11820)",0,139724220,279.51936,1126.170624,0.014869622881524264(0.0),0.014863441679626704(0.0)
138,2; 0; 1,"(11902, 11902)",0,141669506,283.410424,1423.966208,0.00621741175185889(0.0),0.006215051109902561(0.0)
139,2; 1; 1,"(11902, 11902)",0,141669506,283.410424,1142.94784,0.016549331590067596(0.0),0.016537666299846022(0.0)
140,2; 0; 1,"(11983, 11983)",0,143604272,287.280442,1436.54912,0.006313261270988733(0.0),0.0063113580900244414(0.0)
141,2; 1; 1,"(11983, 11983)",0,143604272,287.280442,1151.336448,0.013967324129771442(0.0),0.013908084700815379(0.0)
142,2; 0; 1,"(12064, 12064)",0,145552160,291.176704,1455.423488,0.006170119019225239(0.0),0.006168933401349932(0.0)
143,2; 1; 1,"(12064, 12064)",0,145552160,291.176704,1168.113664,0.017393342999275772(0.0),0.01737874447135255(0.0)
144,2; 0; 1,"(12144, 12144)",0,147488880,295.050624,1476.395008,0.006275466608349234(0.0),0.006273843471426517(0.0)
145,2; 1; 1,"(12144, 12144)",0,147488880,295.050624,1184.89088,0.01790531650884077(0.0),0.017897959831170738(0.0)
146,2; 0; 1,"(12224, 12224)",0,149438400,298.950144,1497.366528,0.006253686479758471(0.0),0.006251322410535067(0.0)
147,2; 1; 1,"(12224, 12224)",0,149438400,298.950144,1201.668096,0.01669247103156522(0.0),0.01671065586153418(0.0)
148,2; 0; 1,"(12304, 12304)",0,151400720,302.875264,1518.338048,0.006444718181155622(0.0),0.006442670710384846(0.0)
149,2; 1; 1,"(12304, 12304)",0,151400720,302.875264,1218.445312,0.016332030019257218(0.0),0.016344917721580712(0.0)
150,2; 0; 1,"(12382, 12382)",0,153326306,306.726904,1539.309568,0.006700046351179481(0.0),0.006697971730027348(0.0)
151,2; 1; 1,"(12382, 12382)",0,153326306,306.726904,1235.222528,0.01819888988044113(0.0),0.01818258635001257(0.0)
152,2; 0; 1,"(12461, 12461)",0,155288982,310.65273,1560.281088,0.006834251310210675(0.0),0.006834100340493024(0.0)
153,2; 1; 1,"(12461, 12461)",0,155288982,310.65273,1251.999744,0.019558267558459193(0.0),0.01957435280783102(0.0)
154,2; 0; 1,"(12538, 12538)",0,157213982,314.503192,1572.864,0.006863109250552953(0.0),0.0068597968900576236(0.0)
155,2; 1; 1,"(12538, 12538)",0,157213982,314.503192,1260.388352,0.017468003139365463(0.0),0.01742348862113431(0.0)
156,2; 0; 1,"(12616, 12616)",0,159176072,318.42784,1591.738368,0.006867601070553064(0.0),0.006864178099203855(0.0)
157,2; 1; 1,"(12616, 12616)",0,159176072,318.42784,1277.165568,0.01848085748963058(0.0),0.01852036446100101(0.0)
158,2; 0; 1,"(12692, 12692)",0,161099556,322.275264,1612.709888,0.0070111066405661405(0.0),0.007007884047925472(0.0)
