,Input dims,Input size,"Sparsities (input, matA, matB)",Total elements,Input memory,Total Memory,GPU clock time (IQR)
13,3,"[(3305, 3305), (3305, 3305), (3305, 3305)]",0 ; 0 ; 0,32769075,65.53815,92.274688,0.0011923992808442563(0.0)
14,3,"[(3402, 3402), (3402, 3402), (3402, 3402)]",0 ; 0 ; 0,34720812,69.441624,100.663296,0.0007514924998395145(0.0)
15,3,"[(3496, 3496), (3496, 3496), (3496, 3496)]",0 ; 0 ; 0,36666048,73.332096,100.663296,0.00047184727038256823(0.0)
16,3,"[(3587, 3587), (3587, 3587), (3587, 3587)]",0 ; 0 ; 0,38599707,77.199414,109.051904,0.001364322939189151(0.0)
17,3,"[(3676, 3676), (3676, 3676), (3676, 3676)]",0 ; 0 ; 0,40538928,81.077856,109.051904,0.0008958520693704486(0.0)
18,3,"[(3763, 3763), (3763, 3763), (3763, 3763)]",0 ; 0 ; 0,42480507,84.961014,117.440512,0.0016298262402415276(0.0)
19,3,"[(3849, 3849), (3849, 3849), (3849, 3849)]",0 ; 0 ; 0,44444403,88.888806,125.82912,0.001737860789289698(0.0)
20,3,"[(3932, 3932), (3932, 3932), (3932, 3932)]",0 ; 0 ; 0,46381872,92.763744,125.82912,0.0010099794901907444(0.0)
21,3,"[(4013, 4013), (4013, 4013), (4013, 4013)]",0 ; 0 ; 0,48312507,96.625014,134.217728,0.001784061639336869(0.0)
22,3,"[(4093, 4093), (4093, 4093), (4093, 4093)]",0 ; 0 ; 0,50257947,100.515894,134.217728,0.0017069033603183926(0.0)
23,3,"[(4172, 4172), (4172, 4172), (4172, 4172)]",0 ; 0 ; 0,52216752,104.433504,142.606336,0.0012717148393858223(0.0)
24,3,"[(4249, 4249), (4249, 4249), (4249, 4249)]",0 ; 0 ; 0,54162003,108.324006,150.994944,0.0022557415894698353(0.0)
25,3,"[(4324, 4324), (4324, 4324), (4324, 4324)]",0 ; 0 ; 0,56090928,112.181856,150.994944,0.0013352238200604915(0.0)
26,3,"[(4399, 4399), (4399, 4399), (4399, 4399)]",0 ; 0 ; 0,58053603,116.107206,159.383552,0.0023675765504594893(0.0)
27,3,"[(4472, 4472), (4472, 4472), (4472, 4472)]",0 ; 0 ; 0,59996352,119.992704,167.77216,0.0008111538796219974(0.0)
28,3,"[(4544, 4544), (4544, 4544), (4544, 4544)]",0 ; 0 ; 0,61943808,123.887616,167.77216,0.0007652385695837438(0.0)
29,3,"[(4614, 4614), (4614, 4614), (4614, 4614)]",0 ; 0 ; 0,63866988,127.733976,176.160768,0.0015496732597239315(0.0)
30,3,"[(4684, 4684), (4684, 4684), (4684, 4684)]",0 ; 0 ; 0,65819568,131.639136,176.160768,0.0016675579000730066(0.0)
31,3,"[(4753, 4753), (4753, 4753), (4753, 4753)]",0 ; 0 ; 0,67773027,135.546054,184.549376,0.0028981365903746337(0.0)
32,3,"[(4820, 4820), (4820, 4820), (4820, 4820)]",0 ; 0 ; 0,69697200,139.3944,192.937984,0.0017149780702311545(0.0)
33,3,"[(4887, 4887), (4887, 4887), (4887, 4887)]",0 ; 0 ; 0,71648307,143.296614,192.937984,0.0032703219808172435(0.0)
34,3,"[(4953, 4953), (4953, 4953), (4953, 4953)]",0 ; 0 ; 0,73596627,147.193254,201.326592,0.003423553369939327(0.0)
35,3,"[(5018, 5018), (5018, 5018), (5018, 5018)]",0 ; 0 ; 0,75540972,151.081944,209.7152,0.0020421499491203574(0.0)
36,3,"[(5082, 5082), (5082, 5082), (5082, 5082)]",0 ; 0 ; 0,77480172,154.960344,209.7152,0.002080895759863779(0.0)
37,3,"[(5146, 5146), (5146, 5146), (5146, 5146)]",0 ; 0 ; 0,79443948,158.887896,218.103808,0.0020776063099037854(0.0)
38,3,"[(5208, 5208), (5208, 5208), (5208, 5208)]",0 ; 0 ; 0,81369792,162.739584,218.103808,0.001243040420813486(0.0)
39,3,"[(5270, 5270), (5270, 5270), (5270, 5270)]",0 ; 0 ; 0,83318700,166.6374,226.492416,0.002391511729219928(0.0)
40,3,"[(5331, 5331), (5331, 5331), (5331, 5331)]",0 ; 0 ; 0,85258683,170.517366,234.881024,0.004105436389800161(0.0)
41,3,"[(5392, 5392), (5392, 5392), (5392, 5392)]",0 ; 0 ; 0,87220992,174.441984,234.881024,0.0013451925199478864(0.0)
42,3,"[(5451, 5451), (5451, 5451), (5451, 5451)]",0 ; 0 ; 0,89140203,178.280406,243.269632,0.004186296060215682(0.0)
