,"Input dims, index dim, reduce factor (RF)",Input size,Sparsity,Total elements,Input memory,Total Memory,GPU clock time (IQR)
168,2; 0; 1,"(6952, 6952)",0,48337256,96.716224,199.22944,0.0005511718604248018(0.0)
169,2; 0; 2,"(6952, 6952)",0,48333780,96.688416,150.994944,0.0002779077098239213(0.0)
170,2; 0; 4,"(6952, 6952)",0,48332042,96.674512,125.82912,0.0001431545603554696(0.0)
171,2; 0; 8,"(6952, 6952)",0,48331173,96.66756,113.246208,6.198797025717795e-05(0.0)
172,2; 1; 1,"(6952, 6952)",0,48337256,96.716224,199.22944,0.0006298171193338931(0.0)
173,2; 1; 2,"(6952, 6952)",0,48333780,96.688416,150.994944,0.00031666461960412563(0.0)
174,2; 1; 4,"(6952, 6952)",0,48332042,96.674512,125.82912,0.00017503320937976242(0.0)
175,2; 1; 8,"(6952, 6952)",0,48331173,96.66756,113.246208,0.00010863003088161349(0.0)
176,2; 0; 1,"(7090, 7090)",0,50275190,100.59292,203.423744,0.0005689651891589164(0.0)
177,2; 0; 2,"(7090, 7090)",0,50271645,100.56456,153.092096,0.00028832674026489256(0.0)
178,2; 0; 4,"(7090, 7090)",0,50269872,100.550376,127.926272,0.00014700461993925274(0.0)
179,2; 0; 8,"(7090, 7090)",0,50268986,100.543288,115.34336,6.552033009938895e-05(0.0)
180,2; 1; 1,"(7090, 7090)",0,50275190,100.59292,203.423744,0.0006520305701997131(0.0)
181,2; 1; 2,"(7090, 7090)",0,50271645,100.56456,153.092096,0.00033903335919603704(0.0)
182,2; 1; 4,"(7090, 7090)",0,50269872,100.550376,127.926272,0.00018138839048333465(0.0)
183,2; 1; 8,"(7090, 7090)",0,50268986,100.543288,115.34336,0.00011024467064999044(0.0)
184,2; 0; 1,"(7226, 7226)",0,52222302,104.48796,211.812352,0.0005909925897140056(0.0)
185,2; 0; 2,"(7226, 7226)",0,52218689,104.459056,159.383552,0.0002993844705633819(0.0)
186,2; 0; 4,"(7226, 7226)",0,52216882,104.4446,134.217728,0.00015229569049552083(0.0)
187,2; 0; 8,"(7226, 7226)",0,52215979,104.437376,121.634816,6.921458058059215e-05(0.0)
188,2; 1; 1,"(7226, 7226)",0,52222302,104.48796,211.812352,0.0006698103598318994(0.0)
189,2; 1; 2,"(7226, 7226)",0,52218689,104.459056,159.383552,0.00034513265010900797(0.0)
190,2; 1; 4,"(7226, 7226)",0,52216882,104.4446,134.217728,0.00018884042976424097(0.0)
191,2; 1; 8,"(7226, 7226)",0,52215979,104.437376,121.634816,0.00012708129012025892(0.0)
192,2; 0; 1,"(7359, 7359)",0,54162240,108.368634,220.20096,0.0006087415304500609(0.0)
193,2; 0; 2,"(7359, 7359)",0,54158560,108.339194,165.675008,0.0003079363808501512(0.0)
194,2; 0; 4,"(7359, 7359)",0,54156720,108.324474,138.412032,0.00015686518978327512(0.0)
195,2; 0; 8,"(7359, 7359)",0,54155800,108.317114,125.82912,7.148806937038898e-05(0.0)
196,2; 1; 1,"(7359, 7359)",0,54162240,108.368634,220.20096,0.0006950014200992883(0.0)
197,2; 1; 2,"(7359, 7359)",0,54158560,108.339194,165.675008,0.00035503169987350703(0.0)
198,2; 1; 4,"(7359, 7359)",0,54156720,108.324474,138.412032,0.00019013907993212342(0.0)
199,2; 1; 8,"(7359, 7359)",0,54155800,108.317114,125.82912,0.00013192211044952274(0.0)
200,2; 0; 1,"(7490, 7490)",0,56107590,112.26012,228.589568,0.0006297535100020468(0.0)
201,2; 0; 2,"(7490, 7490)",0,56103845,112.23016,171.966464,0.000317794349975884(0.0)
202,2; 0; 4,"(7490, 7490)",0,56101972,112.215176,144.703488,0.00016190568916499615(0.0)
203,2; 0; 8,"(7490, 7490)",0,56101036,112.207688,130.023424,7.515456993132829e-05(0.0)
204,2; 1; 1,"(7490, 7490)",0,56107590,112.26012,228.589568,0.0007462692109402269(0.0)
205,2; 1; 2,"(7490, 7490)",0,56103845,112.23016,171.966464,0.0003752829495351762(0.0)
206,2; 1; 4,"(7490, 7490)",0,56101972,112.215176,144.703488,0.0002065862703602761(0.0)
207,2; 1; 8,"(7490, 7490)",0,56101036,112.207688,130.023424,0.00012420949060469865(0.0)
208,2; 0; 1,"(7619, 7619)",0,58056780,116.159274,236.978176,0.0006499005691148341(0.0)
209,2; 0; 2,"(7619, 7619)",0,58052970,116.128794,178.25792,0.0003275754896458238(0.0)
210,2; 0; 4,"(7619, 7619)",0,58051065,116.113554,148.897792,0.0001668469002470374(0.0)
211,2; 0; 8,"(7619, 7619)",0,58050113,116.105938,134.217728,7.836803095415235e-05(0.0)
212,2; 1; 1,"(7619, 7619)",0,58056780,116.159274,236.978176,0.000752382439095527(0.0)
213,2; 1; 2,"(7619, 7619)",0,58052970,116.128794,178.25792,0.00037571466993540525(0.0)
214,2; 1; 4,"(7619, 7619)",0,58051065,116.113554,148.897792,0.00020877329050563275(0.0)
215,2; 1; 8,"(7619, 7619)",0,58050113,116.105938,134.217728,0.00012574448017403485(0.0)
216,2; 0; 1,"(7745, 7745)",0,59992770,120.03201,245.366784,0.0006690994405653327(0.0)
217,2; 0; 2,"(7745, 7745)",0,59988897,120.001026,184.549376,0.00033715273020789026(0.0)
