,Input dims,Input size,Sparsity,Total elements,Input memory,Total Memory,GPU clock time (IQR)
128,2; 0,"(5137, 5137)",0,52777538,263.88769,320.864256,0.0013937344995792955(0.0)
129,2; 1,"(5137, 5137)",0,52777538,263.88769,320.864256,0.00026746936957351865(0.0)
130,2; 0,"(5174, 5174)",0,53540552,267.70276,325.05856,0.0014087958598975091(0.0)
131,2; 1,"(5174, 5174)",0,53540552,267.70276,325.05856,0.00027157514938153327(0.0)
132,2; 0,"(5212, 5212)",0,54329888,271.64944,327.155712,0.0014390670391730964(0.0)
133,2; 1,"(5212, 5212)",0,54329888,271.64944,327.155712,0.0002757274208124727(0.0)
134,2; 0,"(5249, 5249)",0,55104002,275.52001,335.54432,0.0014721479406580328(0.0)
135,2; 1,"(5249, 5249)",0,55104002,275.52001,335.54432,0.0002798088593408465(0.0)
136,2; 0,"(5286, 5286)",0,55883592,279.41796,337.641472,0.001500515299849212(0.0)
137,2; 1,"(5286, 5286)",0,55883592,279.41796,337.641472,0.0002836505393497646(0.0)
138,2; 0,"(5322, 5322)",0,56647368,283.23684,346.03008,0.001530814440920949(0.0)
139,2; 1,"(5322, 5322)",0,56647368,283.23684,346.03008,0.00028776964987628164(0.0)
140,2; 0,"(5359, 5359)",0,57437762,287.18881,348.127232,0.0015699627401772887(0.0)
141,2; 1,"(5359, 5359)",0,57437762,287.18881,348.127232,0.00029168576002120973(0.0)
142,2; 0,"(5395, 5395)",0,58212050,291.06025,352.321536,0.001602739579975605(0.0)
143,2; 1,"(5395, 5395)",0,58212050,291.06025,352.321536,0.00029571931925602256(0.0)
144,2; 0,"(5431, 5431)",0,58991522,294.95761,358.612992,0.0016329079493880272(0.0)
145,2; 1,"(5431, 5431)",0,58991522,294.95761,358.612992,0.00029989092028699817(0.0)
146,2; 0,"(5467, 5467)",0,59776178,298.88089,362.807296,0.0016615807998459787(0.0)
147,2; 1,"(5467, 5467)",0,59776178,298.88089,362.807296,0.00030366897932253777(0.0)
148,2; 0,"(5502, 5502)",0,60544008,302.72004,364.904448,0.0016949946398381144(0.0)
149,2; 1,"(5502, 5502)",0,60544008,302.72004,364.904448,0.000307751219952479(0.0)
150,2; 0,"(5537, 5537)",0,61316738,306.58369,371.195904,0.0017284475406631828(0.0)
151,2; 1,"(5537, 5537)",0,61316738,306.58369,371.195904,0.0003114018391352147(0.0)
152,2; 0,"(5572, 5572)",0,62094368,310.47184,375.390208,0.0017554703704081476(0.0)
153,2; 1,"(5572, 5572)",0,62094368,310.47184,375.390208,0.0003159432497341186(0.0)
154,2; 0,"(5607, 5607)",0,62876898,314.38449,377.48736,0.0017887738905847073(0.0)
155,2; 1,"(5607, 5607)",0,62876898,314.38449,377.48736,0.0003198813099879771(0.0)
156,2; 0,"(5642, 5642)",0,63664328,318.32164,385.875968,0.0018289884203113616(0.0)
157,2; 1,"(5642, 5642)",0,63664328,318.32164,385.875968,0.00032397837960161267(0.0)
158,2; 0,"(5676, 5676)",0,64433952,322.16976,387.97312,0.0018543645192403346(0.0)
159,2; 1,"(5676, 5676)",0,64433952,322.16976,387.97312,0.0003278981090988964(0.0)
160,2; 0,"(5710, 5710)",0,65208200,326.041,396.361728,0.0018861029704567045(0.0)
161,2; 1,"(5710, 5710)",0,65208200,326.041,396.361728,0.00033186943037435415(0.0)
162,2; 0,"(5744, 5744)",0,65987072,329.93536,398.45888,0.0019173387798946352(0.0)
163,2; 1,"(5744, 5744)",0,65987072,329.93536,398.45888,0.0003350923396646976(0.0)
164,2; 0,"(5778, 5778)",0,66770568,333.85284,402.653184,0.0019473086902871727(0.0)
165,2; 1,"(5778, 5778)",0,66770568,333.85284,402.653184,0.00033948156982660293(0.0)
